Unique_ID,Domain,Taxonomic group,Scientific name,COSEWIC common name,COSEWIC population,COSEWIC status,COSEWIC last assessment date,Estimated re-assessment,Legal common name,Legal population,Schedule 1 status,Last status change,SARA schedule,Date added,Range,Under consideration for,GIC decision,Scheduled Assessment
Abronia umbellata - Pink Sand-verbena,Terrestrial,Vascular Plants,Abronia umbellata,Pink Sand-verbena,NA,Endangered,2004-05-01,2014-05-01 00:00:00,Pink Sand-verbena,NA,Endangered,2005-07-14,Schedule 1,2005-07-14,British Columbia,NA,Added to list,9999-01-01
Accipiter cooperii - Cooper's Hawk,Terrestrial,Birds,Accipiter cooperii,Cooper's Hawk,NA,Not at Risk,1996-04-01,2006-04-01 00:00:00,NA,NA,No Status,9999-01-01,No schedule,9999-01-01,"Alberta, British Columbia, Manitoba, New Brunswick, Nova Scotia, Ontario, Quebec, Saskatchewan",NA,NA,9999-01-01
Accipiter gentilis atricapillus - Northern Goshawk atricapillus subspecies,Terrestrial,Birds,Accipiter gentilis atricapillus,Northern Goshawk atricapillus subspecies,NA,Not at Risk,1995-04-01,2005-04-01 00:00:00,NA,NA,No Status,9999-01-01,No schedule,9999-01-01,"Alberta, British Columbia, Manitoba, New Brunswick, Newfoundland and Labrador, Northwest Territories, Nova Scotia, Nunavut, Ontario, Prince Edward Island, Quebec, Saskatchewan, Yukon",NA,NA,9999-01-01
Accipiter gentilis laingi - Northern Goshawk laingi subspecies,Terrestrial,Birds,Accipiter gentilis laingi,Northern Goshawk laingi subspecies,NA,Threatened,2013-05-03,2023-05-03 00:00:00,Northern Goshawk laingi subspecies,NA,Threatened,2003-06-05,Schedule 1,2003-06-05,British Columbia,NA,Added to list,9999-01-01
Accipiter striatus - Sharp-shinned Hawk,Terrestrial,Birds,Accipiter striatus,Sharp-shinned Hawk,NA,Not at Risk,1997-04-01,2007-04-01 00:00:00,NA,NA,No Status,9999-01-01,No schedule,9999-01-01,"Alberta, British Columbia, Manitoba, New Brunswick, Newfoundland and Labrador, Northwest Territories, Nova Scotia, Nunavut, Ontario, Prince Edward Island, Quebec, Saskatchewan, Yukon",NA,NA,9999-01-01
Acipenser medirostris - Green Sturgeon,Aquatic,Fishes (freshwater),Acipenser medirostris,Green Sturgeon,NA,Special Concern,2013-11-01,2023-11-01 00:00:00,Green Sturgeon,NA,Special Concern,2006-08-15,Schedule 1,2006-08-15,"British Columbia, Pacific Ocean",NA,Added to list,9999-01-01
Acipenser transmontanus - White Sturgeon (Kootenay River population),Aquatic,Fishes (freshwater),Acipenser transmontanus,White Sturgeon,NA,Non-active,9999-01-01,9999-01-01,White Sturgeon,Kootenay River population,No Status,2019-08-08,No schedule,2006-08-15,British Columbia,NA,Struck - WS reassignment,9999-01-01
Acipenser transmontanus - White Sturgeon (Lower Fraser River population),Aquatic,Fishes (freshwater),Acipenser transmontanus,White Sturgeon,Lower Fraser River population,Threatened,2012-11-25,2022-11-25 00:00:00,White Sturgeon,Lower Fraser River population,No Status,2006-08-15,No schedule,9999-01-01,British Columbia,NA,Not to list,9999-01-01
Acipenser transmontanus - White Sturgeon (Middle Fraser River),Aquatic,Fishes (freshwater),Acipenser transmontanus,White Sturgeon,NA,Non-active,9999-01-01,9999-01-01,White Sturgeon,Middle Fraser River,No Status,2006-08-15,No schedule,9999-01-01,British Columbia,NA,Not to list,9999-01-01
Acipenser transmontanus - White Sturgeon (NA),Aquatic,Fishes (freshwater),Acipenser transmontanus,White Sturgeon,NA,Non-active,2012-11-25,2022-11-25 00:00:00,White Sturgeon,NA,No Status,9999-01-01,NA,9999-01-01,British Columbia,NA,NA,9999-01-01
Acipenser transmontanus - White Sturgeon (Nechako River population),Aquatic,Fishes (freshwater),Acipenser transmontanus,White Sturgeon,NA,Non-active,9999-01-01,9999-01-01,White Sturgeon,Nechako River population,Endangered,2006-08-15,Schedule 1,2006-08-15,British Columbia,NA,Added to list,9999-01-01
Acipenser transmontanus - White Sturgeon (Upper Columbia River population),Aquatic,Fishes (freshwater),Acipenser transmontanus,White Sturgeon,Upper Columbia River population,Endangered,2012-11-25,2022-11-25 00:00:00,White Sturgeon,Upper Columbia River population,Endangered,2006-08-15,Schedule 1,2006-08-15,British Columbia,NA,Added to list,9999-01-01
"Acipenser transmontanus - White Sturgeon (Upper Fraser River (plus Nechako, Mid Fraser) population)",Aquatic,Fishes (freshwater),Acipenser transmontanus,White Sturgeon,"Upper Fraser River (plus Nechako, Mid Fraser) population",Endangered,2012-11-25,2022-11-25 00:00:00,White Sturgeon,"Upper Fraser River (plus Nechako, Mid Fraser) population",No Status,9999-01-01,NA,9999-01-01,British Columbia,NA,NA,9999-01-01
Acipenser transmontanus - White Sturgeon (Upper Fraser River population),Aquatic,Fishes (freshwater),Acipenser transmontanus,White Sturgeon,NA,Non-active,9999-01-01,9999-01-01,White Sturgeon,Upper Fraser River population,Endangered,2006-08-15,Schedule 1,2006-08-15,British Columbia,NA,Added to list,9999-01-01
Acipenser transmontanus - White Sturgeon (Upper Kootenay River population),Aquatic,Fishes (freshwater),Acipenser transmontanus,White Sturgeon,Upper Kootenay River population,Endangered,2012-11-25,2022-11-25 00:00:00,White Sturgeon,Upper Kootenay River population,Endangered,2006-08-15,Schedule 1,2006-08-15,British Columbia,NA,Added to list,9999-01-01
Acrocheilus alutaceus - Chiselmouth,Aquatic,Fishes (freshwater),Acrocheilus alutaceus,Chiselmouth,NA,Not at Risk,2003-05-01,2013-05-01 00:00:00,NA,NA,No Status,9999-01-01,No schedule,9999-01-01,British Columbia,NA,NA,9999-01-01
Acroloxus coloradensis - Rocky Mountain Capshell (Western population),Aquatic,Molluscs,Acroloxus coloradensis,Rocky Mountain Capshell,Western population,Not at Risk,2001-11-01,2011-11-01 00:00:00,NA,NA,No Status,9999-01-01,No schedule,9999-01-01,"Alberta, British Columbia",NA,NA,9999-01-01
Acroscyphus sphaerophoroides - Mountain Crab-eye,Terrestrial,Lichens,Acroscyphus sphaerophoroides,Mountain Crab-eye,NA,Special Concern,2016-04-29,2026-04-29 00:00:00,Mountain Crab-eye,NA,Special Concern,2019-02-25,Schedule 1,2019-02-25,British Columbia,NA,Added to list,9999-01-01
Actaea elata - Tall Bugbane,Terrestrial,Vascular Plants,Actaea elata,Tall Bugbane,NA,Endangered,2018-04-27,2028-04-27 00:00:00,Tall Bugbane,NA,Endangered,2003-06-05,Schedule 1,2003-06-05,British Columbia,NA,Added to list,9999-01-01
Actinemys marmorata - Northwestern Pond Turtle,Terrestrial,Reptiles,Actinemys marmorata,Northwestern Pond Turtle,NA,Extirpated,2023-05-05,2033-05-05 00:00:00,Pacific Pond Turtle,NA,Extirpated,2005-01-12,Schedule 1,2005-01-12,British Columbia,NA,Added to list,9999-01-01
Adiantum capillus-veneris - Southern Maidenhair Fern,Terrestrial,Vascular Plants,Adiantum capillus-veneris,Southern Maidenhair Fern,NA,Endangered,2011-05-06,2021-05-06 00:00:00,Southern Maidenhair Fern,NA,Endangered,2003-06-05,Schedule 1,2003-06-05,British Columbia,NA,Added to list,9999-01-01
Aechmophorus occidentalis - Western Grebe,Terrestrial,Birds,Aechmophorus occidentalis,Western Grebe,NA,Special Concern,2014-05-02,2024-05-02 00:00:00,Western Grebe,NA,Special Concern,2017-11-02,Schedule 1,2017-11-02,"Alberta, British Columbia, Manitoba, Saskatchewan",NA,Added to list,9999-01-01
Aegolius acadicus brooksi - Northern Saw-whet Owl brooksi subspecies,Terrestrial,Birds,Aegolius acadicus brooksi,Northern Saw-whet Owl brooksi subspecies,NA,Threatened,2017-11-01,2027-11-01 00:00:00,Northern Saw-whet Owl brooksi subspecies,NA,Threatened,2007-12-13,Schedule 1,2007-12-13,British Columbia,NA,Added to list,9999-01-01
Aegolius funereus - Boreal Owl,Terrestrial,Birds,Aegolius funereus,Boreal Owl,NA,Not at Risk,1995-04-01,2005-04-01 00:00:00,NA,NA,No Status,9999-01-01,No schedule,9999-01-01,"Alberta, British Columbia, Manitoba, New Brunswick, Newfoundland and Labrador, Northwest Territories, Nova Scotia, Nunavut, Ontario, Prince Edward Island, Quebec, Saskatchewan, Yukon",NA,NA,9999-01-01
Allogona townsendiana - Oregon Forestsnail,Terrestrial,Molluscs,Allogona townsendiana,Oregon Forestsnail,NA,Endangered,2013-05-03,2023-05-03 00:00:00,Oregon Forestsnail,NA,Endangered,2005-01-12,Schedule 1,2005-01-12,British Columbia,NA,Added to list,9999-01-01
Allolumpenus hypochromus - Y-Prickleback,Aquatic,Fishes (marine),Allolumpenus hypochromus,Y-Prickleback,NA,Not at Risk,1991-04-01,2001-04-01 00:00:00,NA,NA,No Status,9999-01-01,No schedule,9999-01-01,Pacific Ocean,NA,NA,9999-01-01
Ambystoma gracile - Northwestern Salamander,Terrestrial,Amphibians,Ambystoma gracile,Northwestern Salamander,NA,Not at Risk,1999-04-01,2009-04-01 00:00:00,NA,NA,No Status,9999-01-01,No schedule,9999-01-01,British Columbia,NA,NA,9999-01-01
Ambystoma macrodactylum - Long-toed Salamander,Terrestrial,Amphibians,Ambystoma macrodactylum,Long-toed Salamander,NA,Not at Risk,2006-04-29,2016-04-29 00:00:00,NA,NA,No Status,9999-01-01,No schedule,9999-01-01,"Alberta, British Columbia",NA,NA,9999-01-01
Ambystoma mavortium - Western Tiger Salamander (Southern Mountain population),Terrestrial,Amphibians,Ambystoma mavortium,Western Tiger Salamander,Southern Mountain population,Endangered,2012-11-25,2022-11-25 00:00:00,Western Tiger Salamander,Southern Mountain population,Endangered,9999-01-01,Schedule 1,2003-06-05,British Columbia,NA,NA,9999-01-01
Ambystoma tigrinum - Tiger Salamander (Southern Mountain population),Terrestrial,Amphibians,Ambystoma tigrinum,Tiger Salamander,Southern Mountain population,Non-active,2012-11-25,2022-11-25 00:00:00,Tiger Salamander,Southern Mountain population,No Status,2018-02-02,No schedule,2003-06-05,British Columbia,NA,Struck - WS reassignment,9999-01-01
Ammannia robusta - Scarlet Ammannia,Terrestrial,Vascular Plants,Ammannia robusta,Scarlet Ammannia,NA,Endangered,2001-05-01,2011-05-01 00:00:00,Scarlet Ammannia,NA,Endangered,2003-06-05,Schedule 1,2003-06-05,"British Columbia, Ontario",NA,Added to list,9999-01-01
Ammodramus nelsoni - Nelson's Sharp-tailed Sparrow,Terrestrial,Birds,Ammodramus nelsoni,Nelson's Sharp-tailed Sparrow,NA,Not at Risk,1998-04-01,2008-04-01 00:00:00,NA,NA,No Status,9999-01-01,No schedule,9999-01-01,"Alberta, British Columbia, Manitoba, New Brunswick, Nova Scotia, Ontario, Prince Edward Island, Quebec, Saskatchewan",NA,NA,9999-01-01
Anarrhichthys ocellatus - Wolf-eel,Aquatic,Fishes (marine),Anarrhichthys ocellatus,Wolf-eel,NA,Not at Risk,2003-05-01,2013-05-01 00:00:00,NA,NA,No Status,9999-01-01,No schedule,9999-01-01,Pacific Ocean,NA,NA,9999-01-01
Anarta edwardsii - Edwards' Beach Moth,Terrestrial,Arthropods,Anarta edwardsii,Edwards' Beach Moth,NA,Endangered,2021-05-05,2031-05-05 00:00:00,Edwards' Beach Moth,NA,Endangered,2011-02-04,Schedule 1,2011-02-04,British Columbia,NA,Added to list,9999-01-01
Anaxyrus boreas - Western Toad,Terrestrial,Amphibians,Anaxyrus boreas,Western Toad,NA,Non-active,2012-11-25,2022-11-25 00:00:00,Western Toad,NA,No Status,2018-05-30,No schedule,2005-01-12,"Alberta, British Columbia, Northwest Territories, Yukon",NA,Struck - WS reassignment,9999-01-01
Anaxyrus boreas - Western Toad (Calling population),Terrestrial,Amphibians,Anaxyrus boreas,Western Toad,Calling population,Special Concern,2012-11-25,2022-11-25 00:00:00,Western Toad,Calling population,Special Concern,9999-01-01,Schedule 1,2005-01-12,"Alberta, British Columbia",NA,NA,9999-01-01
Anaxyrus boreas - Western Toad (Non-calling population),Terrestrial,Amphibians,Anaxyrus boreas,Western Toad,Non-calling population,Special Concern,2012-11-25,2022-11-25 00:00:00,Western Toad,Non-calling population,Special Concern,9999-01-01,Schedule 1,2005-01-12,"Alberta, British Columbia, Northwest Territories, Yukon",NA,NA,9999-01-01
Aneides vagrans - Wandering Salamander,Terrestrial,Amphibians,Aneides vagrans,Wandering Salamander,NA,Special Concern,2014-05-02,2024-05-02 00:00:00,Wandering Salamander,NA,Special Concern,2018-02-02,Schedule 1,2018-02-02,British Columbia,NA,Added to list,9999-01-01
Anguispira kochi occidentalis - Western Banded Tigersnail,Terrestrial,Molluscs,Anguispira kochi occidentalis,Western Banded Tigersnail,NA,Not at Risk,2017-04-28,2027-04-28 00:00:00,NA,NA,No Status,9999-01-01,No schedule,9999-01-01,British Columbia,NA,NA,9999-01-01
Antennaria flagellaris - Stoloniferous Pussytoes,Terrestrial,Vascular Plants,Antennaria flagellaris,Stoloniferous Pussytoes,NA,Endangered,2004-05-01,2014-05-01 00:00:00,Stoloniferous Pussytoes,NA,Endangered,2005-07-14,Schedule 1,2005-07-14,British Columbia,NA,Added to list,9999-01-01
Antrozous pallidus - Pallid Bat,Terrestrial,Mammals (terrestrial),Antrozous pallidus,Pallid Bat,NA,Threatened,2010-11-26,2020-11-26 00:00:00,Pallid Bat,NA,Threatened,2003-06-05,Schedule 1,2003-06-05,British Columbia,NA,Added to list,9999-01-01
Aphyllon pinorum - Pine Broomrape,Terrestrial,Vascular Plants,Aphyllon pinorum,Pine Broomrape,NA,Endangered,2024-05-09,2034-05-09 00:00:00,Pine Broomrape,NA,No Status,9999-01-01,No schedule,9999-01-01,British Columbia,Addition,Pending,9999-01-01
Aplodontia rufa - Mountain Beaver,Terrestrial,Mammals (terrestrial),Aplodontia rufa,Mountain Beaver,NA,Special Concern,2022-12-03,2032-12-03 00:00:00,Mountain Beaver,NA,Special Concern,2003-06-05,Schedule 1,2003-06-05,British Columbia,NA,Added to list,9999-01-01
Apodemia mormo - Mormon Metalmark (Southern Mountain population),Terrestrial,Arthropods,Apodemia mormo,Mormon Metalmark,Southern Mountain population,Endangered,2014-05-02,2024-05-02 00:00:00,Mormon Metalmark,Southern Mountain population,Endangered,2005-01-12,Schedule 1,2005-01-12,British Columbia,NA,Added to list,9999-01-01
Apotreubia hortoniae - (common name not available),Terrestrial,Mosses,Apotreubia hortoniae,,common name not available,Not applicable,9999-01-01,9999-01-01,NA,NA,NA,9999-01-01,NA,9999-01-01,"BC, CWS, Parks",NA,NA,2026-04-01
Apristurus brunneus - Brown Cat Shark,Aquatic,Fishes (marine),Apristurus brunneus,Brown Cat Shark,NA,Data Deficient,2007-04-22,2017-04-22 00:00:00,NA,NA,No Status,9999-01-01,No schedule,9999-01-01,Pacific Ocean,NA,NA,9999-01-01
Aquila chrysaetos - Golden Eagle,Terrestrial,Birds,Aquila chrysaetos,Golden Eagle,NA,Not at Risk,1996-04-01,2006-04-01 00:00:00,NA,NA,No Status,9999-01-01,No schedule,9999-01-01,"Alberta, British Columbia, Manitoba, Newfoundland and Labrador, Northwest Territories, Nunavut, Ontario, Quebec, Saskatchewan, Yukon",NA,NA,9999-01-01
Ardea herodias fannini - Great Blue Heron fannini subspecies,Terrestrial,Birds,Ardea herodias fannini,Great Blue Heron fannini subspecies,NA,Non-active,2022-12-03,2032-12-03 00:00:00,Great Blue Heron fannini subspecies,NA,Special Concern,2010-02-23,Schedule 1,2010-02-23,British Columbia,NA,Added to list,9999-01-01
Ardenna creatopus - Pink-footed Shearwater,Terrestrial,Birds,Ardenna creatopus,Pink-footed Shearwater,NA,Endangered,2016-11-27,2026-11-27 00:00:00,Pink-footed Shearwater,NA,Endangered,2019-05-22,Schedule 1,2005-07-14,"British Columbia, Pacific Ocean",NA,Uplisted: Threatened to endangered,9999-01-01
Argia vivida - Vivid Dancer,Terrestrial,Arthropods,Argia vivida,Vivid Dancer,NA,Special Concern,2015-05-01,2025-05-01 00:00:00,Vivid Dancer,NA,Special Concern,2019-02-25,Schedule 1,2019-02-25,"Alberta, British Columbia",NA,Added to list,9999-01-01
Ascaphus montanus - Rocky Mountain Tailed Frog,Terrestrial,Amphibians,Ascaphus montanus,Rocky Mountain Tailed Frog,NA,Threatened,2013-11-01,2023-11-01 00:00:00,Rocky Mountain Tailed Frog,NA,Threatened,2018-02-02,Schedule 1,2003-06-05,British Columbia,NA,Downlisted: Endangered to threatened,9999-01-01
Ascaphus truei - Coastal Tailed Frog,Terrestrial,Amphibians,Ascaphus truei,Coastal Tailed Frog,NA,Special Concern,2011-11-25,2021-11-25 00:00:00,Coastal Tailed Frog,NA,Special Concern,2003-06-05,Schedule 1,2003-06-05,British Columbia,NA,Added to list,9999-01-01
Asemichthys taylori - Spinynose Sculpin,Aquatic,Fishes (marine),Asemichthys taylori,Spinynose Sculpin,NA,Data Deficient,1997-04-01,2007-04-01 00:00:00,NA,NA,No Status,9999-01-01,No schedule,9999-01-01,Pacific Ocean,NA,NA,9999-01-01
Asio flammeus - Short-eared Owl,Terrestrial,Birds,Asio flammeus,Short-eared Owl,NA,Threatened,2021-05-05,2031-05-05 00:00:00,Short-eared Owl,NA,Special Concern,9999-01-01,Schedule 1,2012-06-20,"Alberta, British Columbia, Manitoba, New Brunswick, Newfoundland and Labrador, Northwest Territories, Nova Scotia, Nunavut, Ontario, Prince Edward Island, Quebec, Saskatchewan, Yukon",Status change,Pending,9999-01-01
Athene cunicularia - Burrowing Owl,Terrestrial,Birds,Athene cunicularia,Burrowing Owl,NA,Endangered,2017-04-28,2027-04-28 00:00:00,Burrowing Owl,NA,Endangered,2003-06-05,Schedule 1,2003-06-05,"Alberta, British Columbia, Manitoba, Saskatchewan",NA,Added to list,9999-01-01
Azolla mexicana - Mexican Mosquito-fern,Terrestrial,Vascular Plants,Azolla mexicana,Mexican Mosquito-fern,NA,Threatened,2008-11-28,2018-11-28 00:00:00,Mexican Mosquito-fern,NA,Threatened,2003-06-05,Schedule 1,2003-06-05,British Columbia,NA,Added to list,9999-01-01
Balaena mysticetus - Bowhead Whale (Bering-Chukchi-Beaufort population),Aquatic,Mammals (marine),Balaena mysticetus,Bowhead Whale ,Bering-Chukchi-Beaufort population,Special Concern,9999-01-01,9999-01-01,NA,NA,NA,9999-01-01,NA,9999-01-01,"Arctic Ocean, CWS, DFO, FJMC, IGC, NT, NWMB, Parks, Pacific Ocean, WMAC-NS, WMAC-NWT, YT",NA,NA,2025-11-01
Balaenoptera acutorostrata scammonii - Common Minke Whale North Pacific subspecies,Aquatic,Mammals (marine),Balaenoptera acutorostrata scammonii,Common Minke Whale North Pacific subspecies,NA,Not at Risk,2006-04-29,2016-04-29 00:00:00,NA,NA,No Status,9999-01-01,No schedule,9999-01-01,Pacific Ocean,NA,NA,9999-01-01
Balaenoptera borealis - Sei Whale (Pacific population),Aquatic,Mammals (marine),Balaenoptera borealis,Sei Whale,Pacific population,Endangered,2013-05-03,2023-05-03 00:00:00,Sei Whale,Pacific population,Endangered,2005-01-12,Schedule 1,2005-01-12,Pacific Ocean,NA,Added to list,9999-01-01
Balaenoptera musculus - Blue Whale,Aquatic,Mammals (marine),Balaenoptera musculus,Blue Whale,NA,Non-active,2002-05-01,2012-05-01 00:00:00,Blue Whale,NA,NA,9999-01-01,NA,9999-01-01,"Atlantic Ocean, Pacific Ocean",NA,NA,9999-01-01
Balaenoptera musculus - Blue Whale (Pacific population),Aquatic,Mammals (marine),Balaenoptera musculus,Blue Whale,Pacific population,Endangered,2012-05-04,2022-05-04 00:00:00,Blue Whale,Pacific population,Endangered,2005-01-12,Schedule 1,2005-01-12,Pacific Ocean,NA,Added to list,9999-01-01
Balaenoptera physalus - Fin Whale,Aquatic,Mammals (marine),Balaenoptera physalus,Fin Whale,NA,Non-active,2005-05-05,2015-05-05 00:00:00,Fin Whale,NA,NA,9999-01-01,NA,9999-01-01,"Atlantic Ocean, Pacific Ocean",NA,NA,9999-01-01
Balaenoptera physalus - Fin Whale (Pacific population),Aquatic,Mammals (marine),Balaenoptera physalus,Fin Whale,Pacific population,Special Concern,2019-05-03,2029-05-03 00:00:00,Fin Whale,Pacific population,Threatened,9999-01-01,Schedule 1,2006-08-15,Pacific Ocean,Status change,Pending,9999-01-01
Balsamorhiza deltoidea - Deltoid Balsamroot,Terrestrial,Vascular Plants,Balsamorhiza deltoidea,Deltoid Balsamroot,NA,Endangered,2009-04-26,2019-04-26 00:00:00,Deltoid Balsamroot,NA,Endangered,2003-06-05,Schedule 1,2003-06-05,British Columbia,NA,Added to list,9999-01-01
Bartramia aprica - Rigid Apple Moss,Terrestrial,Mosses,Bartramia aprica,Rigid Apple Moss,NA,Threatened,2023-12-01,2033-12-01 00:00:00,Rigid Apple Moss,NA,Endangered,9999-01-01,Schedule 1,2003-06-05,British Columbia,Status change,Pending,9999-01-01
Bartramia halleriana - Haller's Apple Moss,Terrestrial,Mosses,Bartramia halleriana,Haller's Apple Moss,NA,Threatened,2011-11-25,2021-11-25 00:00:00,Haller's Apple Moss,NA,Threatened,2003-06-05,Schedule 1,2003-06-05,"Alberta, British Columbia",NA,Added to list,2025-11-01
Bathyraja interrupta - Sandpaper Skate,Aquatic,Fishes (marine),Bathyraja interrupta,Sandpaper Skate,NA,Not at Risk,2007-04-22,2017-04-22 00:00:00,NA,NA,No Status,9999-01-01,No schedule,9999-01-01,Pacific Ocean,NA,NA,9999-01-01
Berardius bairdii - Baird's Beaked Whale,Aquatic,Mammals (marine),Berardius bairdii,Baird's Beaked Whale,NA,Not at Risk,1992-04-01,2002-04-01 00:00:00,NA,NA,No Status,9999-01-01,No schedule,9999-01-01,Pacific Ocean,NA,NA,9999-01-01
Bidens amplissima - Vancouver Island Beggarticks,Terrestrial,Vascular Plants,Bidens amplissima,Vancouver Island Beggarticks,NA,Special Concern,2001-11-01,2011-11-01 00:00:00,Vancouver Island Beggarticks,NA,Special Concern,2003-06-05,Schedule 1,2003-06-05,British Columbia,NA,Added to list,9999-01-01
Bison bison athabascae - Wood Bison,Terrestrial,Mammals (terrestrial),Bison bison athabascae,Wood Bison,NA,Special Concern,2013-11-01,2023-11-01 00:00:00,Wood Bison,NA,Threatened,9999-01-01,Schedule 1,2003-06-05,"Alberta, British Columbia, Manitoba, Northwest Territories, Yukon",Status change,Pending,2026-04-01
Bison bison bison - Plains Bison,Terrestrial,Mammals (terrestrial),Bison bison bison,Plains Bison,NA,Threatened,2013-11-01,2023-11-01 00:00:00,Plains Bison,NA,No Status,9999-01-01,No schedule,9999-01-01,"Alberta, British Columbia, Saskatchewan",Addition,Pending,2026-04-01
Bombus bohemicus - Gypsy Cuckoo Bumble Bee,Terrestrial,Arthropods,Bombus bohemicus,Gypsy Cuckoo Bumble Bee,NA,Endangered,2014-05-02,2024-05-02 00:00:00,Gypsy Cuckoo Bumble Bee,NA,Endangered,2018-05-30,Schedule 1,2018-05-30,"Alberta, British Columbia, Manitoba, New Brunswick, Newfoundland and Labrador, Northwest Territories, Nova Scotia, Ontario, Prince Edward Island, Quebec, Saskatchewan, Yukon",NA,Added to list,9999-01-01
Bombus occidentalis mckayi - Western Bumble Bee mckayi subspecies,Terrestrial,Arthropods,Bombus occidentalis mckayi,Western Bumble Bee mckayi subspecies,NA,Special Concern,2014-05-02,2024-05-02 00:00:00,Western Bumble Bee mckayi subspecies,NA,Special Concern,2023-12-08,Schedule 1,2023-12-08,"British Columbia, Northwest Territories, Yukon",NA,Added to list,9999-01-01
Bombus occidentalis occidentalis - Western Bumble Bee occidentalis subspecies,Terrestrial,Arthropods,Bombus occidentalis occidentalis,Western Bumble Bee occidentalis subspecies,NA,Threatened,2014-05-02,2024-05-02 00:00:00,Western Bumble Bee occidentalis subspecies,NA,Threatened,2023-12-08,Schedule 1,2023-12-08,"Alberta, British Columbia, Saskatchewan",NA,Added to list,9999-01-01
Bombus suckleyi - Suckley’s Cuckoo Bumble Bee,Terrestrial,Arthropods,Bombus suckleyi,Suckley’s Cuckoo Bumble Bee,NA,Threatened,2019-11-29,2029-11-29 00:00:00,Suckley’s Cuckoo Bumble Bee,NA,No Status,9999-01-01,No schedule,9999-01-01,"Alberta, British Columbia, Manitoba, New Brunswick, Newfoundland and Labrador, Northwest Territories, Nova Scotia, Ontario, Prince Edward Island, Quebec, Saskatchewan, Yukon",Addition,Pending,9999-01-01
Bombus terricola - Yellow-banded Bumble Bee,Terrestrial,Arthropods,Bombus terricola,Yellow-banded Bumble Bee,NA,Special Concern,2015-05-01,2025-05-01 00:00:00,Yellow-banded Bumble Bee,NA,Special Concern,2018-05-30,Schedule 1,2018-05-30,"Alberta, British Columbia, Manitoba, New Brunswick, Newfoundland and Labrador, Northwest Territories, Nova Scotia, Ontario, Prince Edward Island, Quebec, Saskatchewan, Yukon",NA,Added to list,9999-01-01
Brachyramphus marmoratus - Marbled Murrelet,Terrestrial,Birds,Brachyramphus marmoratus,Marbled Murrelet,NA,Threatened,2012-05-04,2022-05-04 00:00:00,Marbled Murrelet,NA,Threatened,2003-06-05,Schedule 1,2003-06-05,British Columbia,NA,Added to list,9999-01-01
Brickellia grandiflora - Large-flowered Brickellia,Terrestrial,Vascular Plants,Brickellia grandiflora,Large-flowered Brickellia,NA,Not at Risk,1996-04-01,2006-04-01 00:00:00,NA,NA,No Status,9999-01-01,No schedule,9999-01-01,"Alberta, British Columbia",NA,NA,9999-01-01
Brotherella roellii - Roell's Brotherella Moss,Terrestrial,Mosses,Brotherella roellii,Roell's Brotherella Moss,NA,Endangered,2010-11-26,2020-11-26 00:00:00,Roell's Brotherella Moss,NA,Endangered,2018-05-30,Schedule 1,2018-05-30,British Columbia,NA,Added to list,2025-04-01
Bryoerythrophyllum columbianum - Columbian Carpet Moss,Terrestrial,Mosses,Bryoerythrophyllum columbianum,Columbian Carpet Moss,NA,Special Concern,2014-11-28,2024-11-28 00:00:00,Columbian Carpet Moss,NA,Special Concern,2005-07-14,Schedule 1,2005-07-14,British Columbia,NA,Added to list,9999-01-01
Bubo scandiacus - Snowy Owl,Terrestrial,Birds,Bubo scandiacus,Snowy Owl,NA,Not at Risk,9999-01-01,9999-01-01,NA,NA,NA,9999-01-01,NA,9999-01-01,"AB, ARRC, BC, CMN, CRRC, CTRRC, CWS, DDRRC, DKRRC, GRRB, HFTCC, IGC, LRRC, MB, MDRRC, NB, NL, NS, NT, NU, NWC, NWMB, NYRRC, ON, Parks, PE, QC, SK, SRRB, SRRC, TRRC, TWPCB, WMAC-NS, WMAC-NWT, WRRB, YFWMB, YT",NA,NA,2025-04-01
Buteo jamaicensis - Red-tailed Hawk,Terrestrial,Birds,Buteo jamaicensis,Red-tailed Hawk,NA,Not at Risk,1995-04-01,2005-04-01 00:00:00,NA,NA,No Status,9999-01-01,No schedule,9999-01-01,"Alberta, British Columbia, Manitoba, New Brunswick, Newfoundland and Labrador, Northwest Territories, Nova Scotia, Nunavut, Ontario, Prince Edward Island, Quebec, Saskatchewan, Yukon",NA,NA,9999-01-01
Buteo lagopus - Rough-legged Hawk,Terrestrial,Birds,Buteo lagopus,Rough-legged Hawk,NA,Not at Risk,1995-04-01,2005-04-01 00:00:00,NA,NA,No Status,9999-01-01,No schedule,9999-01-01,"British Columbia, Manitoba, Newfoundland and Labrador, Northwest Territories, Nunavut, Ontario, Quebec, Yukon",NA,NA,9999-01-01
Calidris canutus roselaari - Red Knot roselaari subspecies,Terrestrial,Birds,Calidris canutus roselaari,Red Knot roselaari subspecies,NA,Threatened,2020-11-04,2030-11-04 00:00:00,Red Knot roselaari subspecies,NA,No Status,9999-01-01,No schedule,9999-01-01,"British Columbia, Yukon",Addition,Pending,9999-01-01
Calidris canutus roselaari type - Red Knot roselaari type,Terrestrial,Birds,Calidris canutus roselaari type,Red Knot roselaari type,NA,Non-active,2020-11-04,2030-11-04 00:00:00,Red Knot roselaari type,NA,Threatened,2010-02-23,Schedule 1,2010-02-23,"British Columbia, Northwest Territories, Yukon",NA,Added to list,9999-01-01
