Unique_ID,Domain,Taxonomic group,Scientific name,COSEWIC common name,COSEWIC population,COSEWIC status,COSEWIC last assessment date,Estimated re-assessment,Legal common name,Legal population,Schedule 1 status,Last status change,SARA schedule,Date added,Range,Under consideration for,GIC decision,Scheduled Assessment
Raja binoculata - Big Skate,Aquatic,Fishes (marine),Raja binoculata,Big Skate,NA,Not at Risk,2007-04-22,2017-04-22 00:00:00,NA,NA,No Status,9999-01-01,No schedule,9999-01-01,Pacific Ocean,NA,NA,9999-01-01
Raja rhina - Longnose Skate,Aquatic,Fishes (marine),Raja rhina,Longnose Skate,NA,Not at Risk,2007-04-22,2017-04-22 00:00:00,NA,NA,No Status,9999-01-01,No schedule,9999-01-01,Pacific Ocean,NA,NA,9999-01-01
Rana aurora - Northern Red-legged Frog,Terrestrial,Amphibians,Rana aurora,Northern Red-legged Frog,NA,Special Concern,2015-05-01,2025-05-01 00:00:00,Northern Red-legged Frog,NA,Special Concern,2005-01-12,Schedule 1,2005-01-12,British Columbia,NA,Added to list,9999-01-01
Rana luteiventris - Columbia Spotted Frog,Terrestrial,Amphibians,Rana luteiventris,Columbia Spotted Frog,NA,Not at Risk,2000-05-01,2010-05-01 00:00:00,NA,NA,No Status,9999-01-01,No schedule,9999-01-01,"Alberta, British Columbia, Yukon",NA,NA,9999-01-01
Rana pretiosa - Oregon Spotted Frog,Terrestrial,Amphibians,Rana pretiosa,Oregon Spotted Frog,NA,Endangered,2011-05-06,2021-05-06 00:00:00,Oregon Spotted Frog,NA,Endangered,2003-06-05,Schedule 1,2003-06-05,British Columbia,NA,Added to list,9999-01-01
Rangifer tarandus - Caribou (Boreal population),Terrestrial,Mammals (terrestrial),Rangifer tarandus,Caribou,Boreal population,Threatened,2014-11-28,2024-11-28 00:00:00,Caribou,Boreal population,Threatened,2003-06-05,Schedule 1,2003-06-05,"Alberta, British Columbia, Manitoba, Newfoundland and Labrador, Northwest Territories, Ontario, Quebec, Saskatchewan, Yukon",NA,Added to list,9999-01-01
Rangifer tarandus - Caribou (Central Mountain population),Terrestrial,Mammals (terrestrial),Rangifer tarandus,Caribou,Central Mountain population,Endangered,2014-05-02,2024-05-02 00:00:00,Caribou,Central Mountain population,No Status,2022-02-03,No schedule,9999-01-01,"Alberta, British Columbia",NA,Refer back,2026-11-01
Rangifer tarandus - Caribou (Northern Mountain population),Terrestrial,Mammals (terrestrial),Rangifer tarandus,Caribou,Northern Mountain population,Special Concern,2014-05-02,2024-05-02 00:00:00,Caribou,Northern Mountain population,No Status,2022-02-03,No schedule,9999-01-01,"British Columbia, Northwest Territories, Yukon",NA,Refer back,2026-11-01
Rangifer tarandus - Caribou (Southern Mountain population),Terrestrial,Mammals (terrestrial),Rangifer tarandus,Caribou,Southern Mountain population,Endangered,2014-05-02,2024-05-02 00:00:00,Caribou,Southern Mountain population,No Status,2022-02-03,No schedule,9999-01-01,British Columbia,NA,Refer back,2026-11-01
Rangifer tarandus caribou - Woodland Caribou (Northern Mountain population),Terrestrial,Mammals (terrestrial),Rangifer tarandus caribou,Woodland Caribou,Northern Mountain population,Non-active,2014-05-02,2024-05-02 00:00:00,Woodland Caribou,Northern Mountain population,Special Concern,2005-01-12,Schedule 1,2005-01-12,"British Columbia, Northwest Territories, Yukon",NA,Added to list,9999-01-01
